config_id,asset,window,volume_surge_multiple,breakout_buy_mult,normal_buy_mult,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg03_w20_vsm1.5_bbm2.0_nbm1.0,SP500,20,1.5,2.0,1.0,85.27722344483453,0.1530965091120862,85.27722344483453,0.1530965091120862,False,85.14917987853534,0.15233705290993851,85.14917987853534,0.15233705290993851,False
cfg03_w20_vsm1.5_bbm2.0_nbm1.0,GOLD,20,1.5,2.0,1.0,2.2312322553607693,0.5049170813430391,2.2312322553607693,0.5049170813430391,False,2.227883543414292,0.5019039393179513,2.227883543414292,0.5019039393179513,False
cfg03_w20_vsm1.5_bbm2.0_nbm1.0,SILVER,20,1.5,2.0,1.0,1.686659698183187,0.3196772758715409,1.686659698183187,0.3196772758715409,False,1.6841286627489933,0.31790937005101605,1.6841286627489933,0.31790937005101605,False
cfg03_w20_vsm1.5_bbm2.0_nbm1.0,BTC,20,1.5,2.0,1.0,9.855679074865842,1.0673092354078406,9.855679074865842,1.0673092354078406,False,9.84088617851966,1.0652491717139174,9.84088617851966,1.0652491717139174,False
cfg03_w20_vsm1.5_bbm2.0_nbm1.0,OIL,20,1.5,2.0,1.0,1.1798550873762443,0.22782375575083372,1.1798550873762443,0.22782375575083372,False,1.1780850183556857,0.2262905906561879,1.1780850183556857,0.2262905906561879,False
cfg04_w20_vsm1.5_bbm2.5_nbm0.75,SP500,20,1.5,2.5,0.75,85.27637312322315,0.15313804442996176,85.27722344483453,0.1530965091120862,False,85.1483308336838,0.15237853131004084,85.14917987853534,0.15233705290993851,False
cfg04_w20_vsm1.5_bbm2.5_nbm0.75,GOLD,20,1.5,2.5,0.75,2.2313462724252524,0.5055237907994679,2.2312322553607693,0.5049170813430391,True,2.2279973892819873,0.502511894022966,2.227883543414292,0.5019039393179513,True
cfg04_w20_vsm1.5_bbm2.5_nbm0.75,SILVER,20,1.5,2.5,0.75,1.686758546558812,0.31952230507979185,1.686659698183187,0.3196772758715409,False,1.68422736270364,0.31775406750965596,1.6841286627489933,0.31790937005101605,False
cfg04_w20_vsm1.5_bbm2.5_nbm0.75,BTC,20,1.5,2.5,0.75,9.842265672007048,1.0647418822717014,9.855679074865842,1.0673092354078406,False,9.827492915905381,1.0626776931187643,9.84088617851966,1.0652491717139174,False
cfg04_w20_vsm1.5_bbm2.5_nbm0.75,OIL,20,1.5,2.5,0.75,1.180220720560969,0.22638479612276896,1.1798550873762443,0.22782375575083372,False,1.178450102541633,0.2248500119234213,1.1780850183556857,0.2262905906561879,False
cfg05_w20_vsm1.5_bbm2.5_nbm1.0,SP500,20,1.5,2.5,1.0,85.27722344483453,0.1530965091120862,85.27722344483453,0.1530965091120862,False,85.14917987853534,0.15233705290993851,85.14917987853534,0.15233705290993851,False
cfg05_w20_vsm1.5_bbm2.5_nbm1.0,GOLD,20,1.5,2.5,1.0,2.2312322553607693,0.5049170813430391,2.2312322553607693,0.5049170813430391,False,2.227883543414292,0.5019039393179513,2.227883543414292,0.5019039393179513,False
cfg05_w20_vsm1.5_bbm2.5_nbm1.0,SILVER,20,1.5,2.5,1.0,1.686659698183187,0.3196772758715409,1.686659698183187,0.3196772758715409,False,1.6841286627489933,0.31790937005101605,1.6841286627489933,0.31790937005101605,False
cfg05_w20_vsm1.5_bbm2.5_nbm1.0,BTC,20,1.5,2.5,1.0,9.855679074865842,1.0673092354078406,9.855679074865842,1.0673092354078406,False,9.84088617851966,1.0652491717139174,9.84088617851966,1.0652491717139174,False
cfg05_w20_vsm1.5_bbm2.5_nbm1.0,OIL,20,1.5,2.5,1.0,1.1798550873762443,0.22782375575083372,1.1798550873762443,0.22782375575083372,False,1.1780850183556857,0.2262905906561879,1.1780850183556857,0.2262905906561879,False
cfg06_w20_vsm2.0_bbm1.5_nbm0.75,SP500,20,2.0,1.5,0.75,85.27628920946718,0.15313798312370971,85.27722344483453,0.1530965091120862,False,85.14824704592444,0.1523784699873958,85.14917987853534,0.15233705290993851,False
cfg06_w20_vsm2.0_bbm1.5_nbm0.75,GOLD,20,2.0,1.5,0.75,2.231357357100754,0.5055261001585865,2.2312322553607693,0.5049170813430391,True,2.228008457313832,0.5025142036775319,2.227883543414292,0.5019039393179513,True
cfg06_w20_vsm2.0_bbm1.5_nbm0.75,SILVER,20,2.0,1.5,0.75,1.6867416066803194,0.319517035759294,1.686659698183187,0.3196772758715409,False,1.6842104482603995,0.3177487938230886,1.6841286627489933,0.31790937005101605,False
cfg06_w20_vsm2.0_bbm1.5_nbm0.75,BTC,20,2.0,1.5,0.75,9.843608703791826,1.0648278194882124,9.855679074865842,1.0673092354078406,False,9.828833931125917,1.0627636701781276,9.84088617851966,1.0652491717139174,False
cfg06_w20_vsm2.0_bbm1.5_nbm0.75,OIL,20,2.0,1.5,0.75,1.1802195644282993,0.22638326211407656,1.1798550873762443,0.22782375575083372,False,1.1784489481448985,0.22484847532017588,1.1780850183556857,0.2262905906561879,False
cfg07_w20_vsm2.0_bbm1.5_nbm1.0,SP500,20,2.0,1.5,1.0,85.27722344483453,0.1530965091120862,85.27722344483453,0.1530965091120862,False,85.14917987853534,0.15233705290993851,85.14917987853534,0.15233705290993851,False
cfg07_w20_vsm2.0_bbm1.5_nbm1.0,GOLD,20,2.0,1.5,1.0,2.2312322553607693,0.5049170813430391,2.2312322553607693,0.5049170813430391,False,2.227883543414292,0.5019039393179513,2.227883543414292,0.5019039393179513,False
cfg07_w20_vsm2.0_bbm1.5_nbm1.0,SILVER,20,2.0,1.5,1.0,1.686659698183187,0.3196772758715409,1.686659698183187,0.3196772758715409,False,1.6841286627489933,0.31790937005101605,1.6841286627489933,0.31790937005101605,False
cfg07_w20_vsm2.0_bbm1.5_nbm1.0,BTC,20,2.0,1.5,1.0,9.855679074865842,1.0673092354078406,9.855679074865842,1.0673092354078406,False,9.84088617851966,1.0652491717139174,9.84088617851966,1.0652491717139174,False
cfg07_w20_vsm2.0_bbm1.5_nbm1.0,OIL,20,2.0,1.5,1.0,1.1798550873762443,0.22782375575083372,1.1798550873762443,0.22782375575083372,False,1.1780850183556857,0.2262905906561879,1.1780850183556857,0.2262905906561879,False
cfg08_w20_vsm2.0_bbm2.0_nbm0.75,SP500,20,2.0,2.0,0.75,85.27628920946718,0.15313798312370971,85.27722344483453,0.1530965091120862,False,85.14824704592444,0.1523784699873958,85.14917987853534,0.15233705290993851,False
cfg08_w20_vsm2.0_bbm2.0_nbm0.75,GOLD,20,2.0,2.0,0.75,2.231357357100754,0.5055261001585865,2.2312322553607693,0.5049170813430391,True,2.228008457313832,0.5025142036775319,2.227883543414292,0.5019039393179513,True
cfg08_w20_vsm2.0_bbm2.0_nbm0.75,SILVER,20,2.0,2.0,0.75,1.6867416066803194,0.319517035759294,1.686659698183187,0.3196772758715409,False,1.6842104482603995,0.3177487938230886,1.6841286627489933,0.31790937005101605,False
cfg08_w20_vsm2.0_bbm2.0_nbm0.75,BTC,20,2.0,2.0,0.75,9.843608703791826,1.0648278194882124,9.855679074865842,1.0673092354078406,False,9.828833931125917,1.0627636701781276,9.84088617851966,1.0652491717139174,False
cfg08_w20_vsm2.0_bbm2.0_nbm0.75,OIL,20,2.0,2.0,0.75,1.1802195644282993,0.22638326211407656,1.1798550873762443,0.22782375575083372,False,1.1784489481448985,0.22484847532017588,1.1780850183556857,0.2262905906561879,False
cfg09_w20_vsm2.0_bbm2.0_nbm1.0,SP500,20,2.0,2.0,1.0,85.27722344483453,0.1530965091120862,85.27722344483453,0.1530965091120862,False,85.14917987853534,0.15233705290993851,85.14917987853534,0.15233705290993851,False
cfg09_w20_vsm2.0_bbm2.0_nbm1.0,GOLD,20,2.0,2.0,1.0,2.2312322553607693,0.5049170813430391,2.2312322553607693,0.5049170813430391,False,2.227883543414292,0.5019039393179513,2.227883543414292,0.5019039393179513,False
cfg09_w20_vsm2.0_bbm2.0_nbm1.0,SILVER,20,2.0,2.0,1.0,1.686659698183187,0.3196772758715409,1.686659698183187,0.3196772758715409,False,1.6841286627489933,0.31790937005101605,1.6841286627489933,0.31790937005101605,False
cfg09_w20_vsm2.0_bbm2.0_nbm1.0,BTC,20,2.0,2.0,1.0,9.855679074865842,1.0673092354078406,9.855679074865842,1.0673092354078406,False,9.84088617851966,1.0652491717139174,9.84088617851966,1.0652491717139174,False
cfg09_w20_vsm2.0_bbm2.0_nbm1.0,OIL,20,2.0,2.0,1.0,1.1798550873762443,0.22782375575083372,1.1798550873762443,0.22782375575083372,False,1.1780850183556857,0.2262905906561879,1.1780850183556857,0.2262905906561879,False
cfg10_w20_vsm2.0_bbm2.5_nbm0.75,SP500,20,2.0,2.5,0.75,85.27628920946718,0.15313798312370971,85.27722344483453,0.1530965091120862,False,85.14824704592444,0.1523784699873958,85.14917987853534,0.15233705290993851,False
cfg10_w20_vsm2.0_bbm2.5_nbm0.75,GOLD,20,2.0,2.5,0.75,2.231357357100754,0.5055261001585865,2.2312322553607693,0.5049170813430391,True,2.228008457313832,0.5025142036775319,2.227883543414292,0.5019039393179513,True
cfg10_w20_vsm2.0_bbm2.5_nbm0.75,SILVER,20,2.0,2.5,0.75,1.6867416066803194,0.319517035759294,1.686659698183187,0.3196772758715409,False,1.6842104482603995,0.3177487938230886,1.6841286627489933,0.31790937005101605,False
cfg10_w20_vsm2.0_bbm2.5_nbm0.75,BTC,20,2.0,2.5,0.75,9.843608703791826,1.0648278194882124,9.855679074865842,1.0673092354078406,False,9.828833931125917,1.0627636701781276,9.84088617851966,1.0652491717139174,False
cfg10_w20_vsm2.0_bbm2.5_nbm0.75,OIL,20,2.0,2.5,0.75,1.1802195644282993,0.22638326211407656,1.1798550873762443,0.22782375575083372,False,1.1784489481448985,0.22484847532017588,1.1780850183556857,0.2262905906561879,False
cfg11_w20_vsm2.0_bbm2.5_nbm1.0,SP500,20,2.0,2.5,1.0,85.27722344483453,0.1530965091120862,85.27722344483453,0.1530965091120862,False,85.14917987853534,0.15233705290993851,85.14917987853534,0.15233705290993851,False
cfg11_w20_vsm2.0_bbm2.5_nbm1.0,GOLD,20,2.0,2.5,1.0,2.2312322553607693,0.5049170813430391,2.2312322553607693,0.5049170813430391,False,2.227883543414292,0.5019039393179513,2.227883543414292,0.5019039393179513,False
cfg11_w20_vsm2.0_bbm2.5_nbm1.0,SILVER,20,2.0,2.5,1.0,1.686659698183187,0.3196772758715409,1.686659698183187,0.3196772758715409,False,1.6841286627489933,0.31790937005101605,1.6841286627489933,0.31790937005101605,False
cfg11_w20_vsm2.0_bbm2.5_nbm1.0,BTC,20,2.0,2.5,1.0,9.855679074865842,1.0673092354078406,9.855679074865842,1.0673092354078406,False,9.84088617851966,1.0652491717139174,9.84088617851966,1.0652491717139174,False
cfg11_w20_vsm2.0_bbm2.5_nbm1.0,OIL,20,2.0,2.5,1.0,1.1798550873762443,0.22782375575083372,1.1798550873762443,0.22782375575083372,False,1.1780850183556857,0.2262905906561879,1.1780850183556857,0.2262905906561879,False
cfg12_w40_vsm1.5_bbm1.5_nbm0.75,SP500,40,1.5,1.5,0.75,85.27643067911885,0.15313809420116092,85.27722344483453,0.1530965091120862,False,85.1483883031592,0.15237858108838495,85.14917987853534,0.15233705290993851,False
cfg12_w40_vsm1.5_bbm1.5_nbm0.75,GOLD,40,1.5,1.5,0.75,2.2313481229360415,0.505524126531451,2.2312322553607693,0.5049170813430391,True,2.2279992370142314,0.5025122316015006,2.227883543414292,0.5019039393179513,True
cfg12_w40_vsm1.5_bbm1.5_nbm0.75,SILVER,40,1.5,1.5,0.75,1.6867513952170659,0.31951880009950495,1.686659698183187,0.3196772758715409,False,1.6842202220996436,0.31775055924655826,1.6841286627489933,0.31790937005101605,False
cfg12_w40_vsm1.5_bbm1.5_nbm0.75,BTC,40,1.5,1.5,0.75,9.842364318156784,1.0647441779569111,9.855679074865842,1.0673092354078406,False,9.827591413937775,1.062679989790478,9.84088617851966,1.0652491717139174,False
cfg12_w40_vsm1.5_bbm1.5_nbm0.75,OIL,40,1.5,1.5,0.75,1.1802183411687952,0.22638425081919744,1.1798550873762443,0.22782375575083372,False,1.1784477267221203,0.2248494662887027,1.1780850183556857,0.2262905906561879,False
cfg13_w40_vsm1.5_bbm1.5_nbm1.0,SP500,40,1.5,1.5,1.0,85.27722344483453,0.1530965091120862,85.27722344483453,0.1530965091120862,False,85.14917987853534,0.15233705290993851,85.14917987853534,0.15233705290993851,False
cfg13_w40_vsm1.5_bbm1.5_nbm1.0,GOLD,40,1.5,1.5,1.0,2.2312322553607693,0.5049170813430391,2.2312322553607693,0.5049170813430391,False,2.227883543414292,0.5019039393179513,2.227883543414292,0.5019039393179513,False
cfg13_w40_vsm1.5_bbm1.5_nbm1.0,SILVER,40,1.5,1.5,1.0,1.686659698183187,0.3196772758715409,1.686659698183187,0.3196772758715409,False,1.6841286627489933,0.31790937005101605,1.6841286627489933,0.31790937005101605,False
cfg13_w40_vsm1.5_bbm1.5_nbm1.0,BTC,40,1.5,1.5,1.0,9.855679074865842,1.0673092354078406,9.855679074865842,1.0673092354078406,False,9.84088617851966,1.0652491717139174,9.84088617851966,1.0652491717139174,False
cfg13_w40_vsm1.5_bbm1.5_nbm1.0,OIL,40,1.5,1.5,1.0,1.1798550873762443,0.22782375575083372,1.1798550873762443,0.22782375575083372,False,1.1780850183556857,0.2262905906561879,1.1780850183556857,0.2262905906561879,False
cfg14_w40_vsm1.5_bbm2.0_nbm0.75,SP500,40,1.5,2.0,0.75,85.27643067911885,0.15313809420116092,85.27722344483453,0.1530965091120862,False,85.1483883031592,0.15237858108838495,85.14917987853534,0.15233705290993851,False
cfg14_w40_vsm1.5_bbm2.0_nbm0.75,GOLD,40,1.5,2.0,0.75,2.2313481229360415,0.505524126531451,2.2312322553607693,0.5049170813430391,True,2.2279992370142314,0.5025122316015006,2.227883543414292,0.5019039393179513,True
cfg14_w40_vsm1.5_bbm2.0_nbm0.75,SILVER,40,1.5,2.0,0.75,1.6867513952170659,0.31951880009950495,1.686659698183187,0.3196772758715409,False,1.6842202220996436,0.31775055924655826,1.6841286627489933,0.31790937005101605,False
cfg14_w40_vsm1.5_bbm2.0_nbm0.75,BTC,40,1.5,2.0,0.75,9.842364318156784,1.0647441779569111,9.855679074865842,1.0673092354078406,False,9.827591413937775,1.062679989790478,9.84088617851966,1.0652491717139174,False
cfg14_w40_vsm1.5_bbm2.0_nbm0.75,OIL,40,1.5,2.0,0.75,1.1802183411687952,0.22638425081919744,1.1798550873762443,0.22782375575083372,False,1.1784477267221203,0.2248494662887027,1.1780850183556857,0.2262905906561879,False
cfg15_w40_vsm1.5_bbm2.0_nbm1.0,SP500,40,1.5,2.0,1.0,85.27722344483453,0.1530965091120862,85.27722344483453,0.1530965091120862,False,85.14917987853534,0.15233705290993851,85.14917987853534,0.15233705290993851,False
cfg15_w40_vsm1.5_bbm2.0_nbm1.0,GOLD,40,1.5,2.0,1.0,2.2312322553607693,0.5049170813430391,2.2312322553607693,0.5049170813430391,False,2.227883543414292,0.5019039393179513,2.227883543414292,0.5019039393179513,False
cfg15_w40_vsm1.5_bbm2.0_nbm1.0,SILVER,40,1.5,2.0,1.0,1.686659698183187,0.3196772758715409,1.686659698183187,0.3196772758715409,False,1.6841286627489933,0.31790937005101605,1.6841286627489933,0.31790937005101605,False
cfg15_w40_vsm1.5_bbm2.0_nbm1.0,BTC,40,1.5,2.0,1.0,9.855679074865842,1.0673092354078406,9.855679074865842,1.0673092354078406,False,9.84088617851966,1.0652491717139174,9.84088617851966,1.0652491717139174,False
cfg15_w40_vsm1.5_bbm2.0_nbm1.0,OIL,40,1.5,2.0,1.0,1.1798550873762443,0.22782375575083372,1.1798550873762443,0.22782375575083372,False,1.1780850183556857,0.2262905906561879,1.1780850183556857,0.2262905906561879,False
cfg16_w40_vsm1.5_bbm2.5_nbm0.75,SP500,40,1.5,2.5,0.75,85.27643067911885,0.15313809420116092,85.27722344483453,0.1530965091120862,False,85.1483883031592,0.15237858108838495,85.14917987853534,0.15233705290993851,False
cfg16_w40_vsm1.5_bbm2.5_nbm0.75,GOLD,40,1.5,2.5,0.75,2.2313481229360415,0.505524126531451,2.2312322553607693,0.5049170813430391,True,2.2279992370142314,0.5025122316015006,2.227883543414292,0.5019039393179513,True
cfg16_w40_vsm1.5_bbm2.5_nbm0.75,SILVER,40,1.5,2.5,0.75,1.6867513952170659,0.31951880009950495,1.686659698183187,0.3196772758715409,False,1.6842202220996436,0.31775055924655826,1.6841286627489933,0.31790937005101605,False
cfg16_w40_vsm1.5_bbm2.5_nbm0.75,BTC,40,1.5,2.5,0.75,9.842364318156784,1.0647441779569111,9.855679074865842,1.0673092354078406,False,9.827591413937775,1.062679989790478,9.84088617851966,1.0652491717139174,False
