config_id,asset,lookback_days,skip_days,mult_pos,mult_neg,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg04_lb126_sk0_mp1.5_mn0.5,OIL,126,0,1.5,0.5,1.1804815285485695,0.2278416046608154,1.1798550873762443,0.22782375575083372,True,1.178710518925647,0.22630813925442644,1.1780850183556857,0.2262905906561879,True
cfg05_lb126_sk21_mp1.5_mn0.5,SP500,126,21,1.5,0.5,85.27819597567073,0.15306602785293905,85.27722344483453,0.1530965091120862,False,85.150150949115,0.1523064583516124,85.14917987853534,0.15233705290993851,False
cfg05_lb126_sk21_mp1.5_mn0.5,GOLD,126,21,1.5,0.5,2.23159037972483,0.5050838056389289,2.2312322553607693,0.5049170813430391,True,2.2282411300540854,0.5020707396582861,2.227883543414292,0.5019039393179513,True
cfg05_lb126_sk21_mp1.5_mn0.5,SILVER,126,21,1.5,0.5,1.687075760496743,0.31983742947303256,1.686659698183187,0.3196772758715409,True,1.6845441003443578,0.3180695690071144,1.6841286627489933,0.31790937005101605,True
cfg05_lb126_sk21_mp1.5_mn0.5,BTC,126,21,1.5,0.5,9.848041776824036,1.0665927073058465,9.855679074865842,1.0673092354078406,False,9.833260348052585,1.0645315616897044,9.84088617851966,1.0652491717139174,False
cfg05_lb126_sk21_mp1.5_mn0.5,OIL,126,21,1.5,0.5,1.1803860040398515,0.2278463415917712,1.1798550873762443,0.22782375575083372,True,1.178615137847124,0.22631288079836734,1.1780850183556857,0.2262905906561879,True
cfg06_lb126_sk0_mp1.5_mn0.75,SP500,126,0,1.5,0.75,85.28223929666075,0.15312230578529526,85.27722344483453,0.1530965091120862,True,85.15418819905291,0.15236283005169782,85.14917987853534,0.15233705290993851,True
cfg06_lb126_sk0_mp1.5_mn0.75,GOLD,126,0,1.5,0.75,2.231365300916596,0.5050427860981695,2.2312322553607693,0.5049170813430391,True,2.2280163892020144,0.502029700806008,2.227883543414292,0.5019039393179513,True
cfg06_lb126_sk0_mp1.5_mn0.75,SILVER,126,0,1.5,0.75,1.686674225332781,0.319708165337155,1.686659698183187,0.3196772758715409,True,1.6841431680860466,0.31794023363758006,1.6841286627489933,0.31790937005101605,True
cfg06_lb126_sk0_mp1.5_mn0.75,BTC,126,0,1.5,0.75,9.850278987743438,1.0665514791316588,9.855679074865842,1.0673092354078406,False,9.83549419963617,1.064490528311121,9.84088617851966,1.0652491717139174,False
cfg06_lb126_sk0_mp1.5_mn0.75,OIL,126,0,1.5,0.75,1.1801683150491744,0.22783269829494565,1.1798550873762443,0.22782375575083372,True,1.178397775716794,0.22629938276826012,1.1780850183556857,0.2262905906561879,True
cfg07_lb126_sk21_mp1.5_mn0.75,SP500,126,21,1.5,0.75,85.27771004359101,0.15308127596664367,85.27722344483453,0.1530965091120862,False,85.14966574666308,0.15232176308767517,85.14917987853534,0.15233705290993851,False
cfg07_lb126_sk21_mp1.5_mn0.75,GOLD,126,21,1.5,0.75,2.2314113120778334,0.5050004462609228,2.2312322553607693,0.5049170813430391,True,2.228062331277427,0.5019873422251133,2.227883543414292,0.5019039393179513,True
cfg07_lb126_sk21_mp1.5_mn0.75,SILVER,126,21,1.5,0.75,1.686867736320749,0.3197573709650208,1.686659698183187,0.3196772758715409,True,1.6843363885169789,0.31798948773888963,1.6841286627489933,0.31790937005101605,True
cfg07_lb126_sk21_mp1.5_mn0.75,BTC,126,21,1.5,0.75,9.851860453712536,1.0669513178834151,9.855679074865842,1.0673092354078406,False,9.837073291031743,1.0648907130849898,9.84088617851966,1.0652491717139174,False
cfg07_lb126_sk21_mp1.5_mn0.75,OIL,126,21,1.5,0.75,1.1801205539669826,0.2278350564763569,1.1798550873762443,0.22782375575083372,True,1.1783500863479375,0.22630174317103602,1.1780850183556857,0.2262905906561879,True
cfg08_lb252_sk0_mp1.25_mn0.5,SP500,252,0,1.25,0.5,85.28469515925448,0.15310359103146928,85.27722344483453,0.1530965091120862,True,85.15664037416516,0.15234404427702417,85.14917987853534,0.15233705290993851,True
